code,description,frequency
314529007,Medication review due (situation),1011
73595000,Stress (finding),357
66383009,Gingivitis (disorder),341
160903007,Full-time employment (finding),322
160904001,Part-time employment (finding),200
423315002,Limited social contact (finding),136
422650009,Social isolation (finding),119
444814009,Viral sinusitis (disorder),115
741062008,Not in labor force (finding),114
18718003,Gingival disease (disorder),112
706893006,Victim of intimate partner abuse (finding),79
109570002,Primary dental caries (disorder),69
10509002,Acute bronchitis (disorder),66
424393004,Reports of violence in the environment (finding),65
72892002,Normal pregnancy (finding),61
224299000,Received higher education (finding),55
195662009,Acute viral pharyngitis (disorder),54
162864005,Body mass index 30+ - obesity (finding),49
73438004,Unemployed (finding),47
714628002,Prediabetes (finding),40
271737000,Anemia (disorder),36
59621000,Essential hypertension (disorder),34
160968000,Risk activity involvement (finding),30
278588009,Fractured dental filling (finding),25
43878008,Streptococcal sore throat (disorder),24
82423001,Chronic pain (finding),24
40055000,Chronic sinusitis (disorder),22
473461003,Educated to high school level (finding),22
10939881000119105,Unhealthy alcohol drinking behavior (finding),22
161744009,Past pregnancy history of miscarriage (situation),21
125605004,Fracture of bone (disorder),21
266948004,Has a criminal record (finding),20
307426000,Acute infective cystitis (disorder),20
65363002,Otitis media (disorder),20
55680006,Drug overdose,20
384709000,Sprain (morphologic abnormality),19
427898007,Infection of tooth (disorder),19
237602007,Metabolic syndrome X (disorder),18
278860009,Chronic low back pain (finding),17
37320007,Loss of teeth (disorder),17
312608009,Laceration - injury (disorder),16
127013003,Disorder of kidney due to diabetes mellitus (disorder),15
80583007,Severe anxiety (panic) (finding),15
44465007,Sprain of ankle (disorder),14
274531002,Abnormal findings diagnostic imaging heart+coronary circulat (finding),14
414545008,Ischemic heart disease (disorder),14
361055000,Misuses drugs (finding),14
278602001,Loose dental filling (finding),14
278558000,Dental filling lost (finding),14
267020005,History of tubal ligation (situation),14
431855005,Chronic kidney disease stage 1 (disorder),14
105531004,Housing unsatisfactory (finding),12
266934004,Transport problem (finding),12
713458007,Lack of access to transportation (finding),12
110030002,Concussion injury of brain (disorder),11
431856006,Chronic kidney disease stage 2 (disorder),11
90781000119102,Microalbuminuria due to type 2 diabetes mellitus (disorder),11
197927001,Recurrent urinary tract infection (disorder),10
