source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
278598003,0,SYNTHEA,Leaking dental filling (finding),4132595,SNOMED,1970-01-01,2099-12-31,
126906006,0,SYNTHEA,Neoplasm of prostate (disorder),4129902,SNOMED,1970-01-01,2099-12-31,
10939881000119105,0,SYNTHEA,Unhealthy alcohol drinking behavior (finding),36712761,SNOMED,1970-01-01,2099-12-31,
79586000,0,SYNTHEA,Tubal pregnancy (disorder),199076,SNOMED,1970-01-01,2099-12-31,
283371005,0,SYNTHEA,Laceration of forearm (disorder),4155034,SNOMED,1970-01-01,2099-12-31,
230265002,0,SYNTHEA,Familial Alzheimer's disease of early onset (disorder),4043241,SNOMED,1970-01-01,2099-12-31,
698306007,0,SYNTHEA,Awaiting transplantation of kidney (situation),44784262,SNOMED,1970-01-01,2099-12-31,
254637007,0,SYNTHEA,Non-small cell lung cancer (disorder),4115276,SNOMED,1970-01-01,2099-12-31,
88805009,0,SYNTHEA,Chronic congestive heart failure (disorder),4229440,SNOMED,1970-01-01,2099-12-31,
67782005,0,SYNTHEA,Acute respiratory distress syndrome (disorder),4195694,SNOMED,1970-01-01,2099-12-31,
84229001,0,SYNTHEA,Fatigue (finding),4223659,SNOMED,1970-01-01,2099-12-31,
128613002,0,SYNTHEA,Seizure disorder (disorder),4029498,SNOMED,1970-01-01,2099-12-31,
262574004,0,SYNTHEA,Bullet wound (disorder),4094814,SNOMED,1970-01-01,2099-12-31,
241929008,0,SYNTHEA,Acute allergic reaction (disorder),4084167,SNOMED,1970-01-01,2099-12-31,
267253006,0,SYNTHEA,Fetus with chromosomal abnormality (disorder),4143203,SNOMED,1970-01-01,2099-12-31,
161744009,0,SYNTHEA,Past pregnancy history of miscarriage (situation),4058873,SNOMED,1970-01-01,2099-12-31,
424132000,0,SYNTHEA,Non-small cell carcinoma of lung  TNM stage 1 (disorder),4310703,SNOMED,1970-01-01,2099-12-31,
124171000119105,0,SYNTHEA,Chronic intractable migraine without aura (disorder),43530652,SNOMED,1970-01-01,2099-12-31,
213150003,0,SYNTHEA,Kidney transplant failure and rejection (disorder),4309006,SNOMED,1970-01-01,2099-12-31,
713197008,0,SYNTHEA,Recurrent rectal polyp (disorder),37017023,SNOMED,1970-01-01,2099-12-31,
1255252008,0,SYNTHEA,Resorption of alveolar process due to dental trauma (disorder),4242545,SNOMED,1970-01-01,2099-12-31,
422034002,0,SYNTHEA,Retinopathy due to type 2 diabetes mellitus (disorder),4226121,SNOMED,1970-01-01,2099-12-31,
62564004,0,SYNTHEA,Concussion with loss of consciousness (disorder),375671,SNOMED,1970-01-01,2099-12-31,
363406005,0,SYNTHEA,Malignant neoplasm of colon (disorder),4180790,SNOMED,1970-01-01,2099-12-31,
125605004,0,SYNTHEA,Fracture of bone (disorder),75053,SNOMED,1970-01-01,2099-12-31,
267102003,0,SYNTHEA,Sore throat (finding),259153,SNOMED,1970-01-01,2099-12-31,
65710008,0,SYNTHEA,Acute respiratory failure (disorder),319049,SNOMED,1970-01-01,2099-12-31,
443165006,0,SYNTHEA,Osteoporotic fracture of bone (disorder),40480160,SNOMED,1970-01-01,2099-12-31,
49436004,0,SYNTHEA,Atrial fibrillation (disorder),313217,SNOMED,1970-01-01,2099-12-31,
198992004,0,SYNTHEA,Eclampsia in pregnancy (disorder),137613,SNOMED,1970-01-01,2099-12-31,
57676002,0,SYNTHEA,Joint pain (finding),77074,SNOMED,1970-01-01,2099-12-31,
399261000,0,SYNTHEA,History of coronary artery bypass grafting (situation),36305599,LOINC,1970-01-01,2099-12-31,
230690007,0,SYNTHEA,Cerebrovascular accident (disorder),381316,SNOMED,1970-01-01,2099-12-31,
266948004,0,SYNTHEA,Has a criminal record (finding),4145802,SNOMED,1970-01-01,2099-12-31,
35999006,0,SYNTHEA,Blighted ovum (disorder),4262136,SNOMED,1970-01-01,2099-12-31,
315268008,0,SYNTHEA,Suspected prostate cancer (situation),4197714,SNOMED,1970-01-01,2099-12-31,
40095003,0,SYNTHEA,Injury of kidney (disorder),4220631,SNOMED,1970-01-01,2099-12-31,
232353008,0,SYNTHEA,Perennial allergic rhinitis with seasonal variation (disorder),4048171,SNOMED,1970-01-01,2099-12-31,
22298006,0,SYNTHEA,Myocardial infarction (disorder),4329847,SNOMED,1970-01-01,2099-12-31,
398254007,0,SYNTHEA,Pre-eclampsia (disorder),439393,SNOMED,1970-01-01,2099-12-31,
283545005,0,SYNTHEA,Gunshot wound (disorder),4153697,SNOMED,1970-01-01,2099-12-31,
370143000,0,SYNTHEA,Major depressive disorder (disorder),4152280,SNOMED,1970-01-01,2099-12-31,
203082005,0,SYNTHEA,Fibromyalgia (disorder),40405599,SNOMED,1970-01-01,2099-12-31,
307426000,0,SYNTHEA,Acute infective cystitis (disorder),4144035,SNOMED,1970-01-01,2099-12-31,
48724000,0,SYNTHEA,Mitral valve regurgitation (disorder),443962,SNOMED,1970-01-01,2099-12-31,
36955009,0,SYNTHEA,Loss of taste (finding),4289517,SNOMED,1970-01-01,2099-12-31,
197927001,0,SYNTHEA,Recurrent urinary tract infection (disorder),4056621,SNOMED,1970-01-01,2099-12-31,
127294003,0,SYNTHEA,Traumatic or nontraumatic brain injury (disorder),4133611,SNOMED,1970-01-01,2099-12-31,
90560007,0,SYNTHEA,Inflammatory disorder due to increased blood urate level (disorder),440674,SNOMED,1970-01-01,2099-12-31,
427419006,0,SYNTHEA,Transformed migraine (disorder),4141827,SNOMED,1970-01-01,2099-12-31,
65363002,0,SYNTHEA,Otitis media (disorder),372328,SNOMED,1970-01-01,2099-12-31,
271825005,0,SYNTHEA,Respiratory distress (finding),4158346,SNOMED,1970-01-01,2099-12-31,
55822004,0,SYNTHEA,Hyperlipidemia (disorder),432867,SNOMED,1970-01-01,2099-12-31,
162573006,0,SYNTHEA,Suspected lung cancer (situation),4038238,SNOMED,1970-01-01,2099-12-31,
24079001,0,SYNTHEA,Atopic dermatitis (disorder),133834,SNOMED,1970-01-01,2099-12-31,
401303003,0,SYNTHEA,Acute ST segment elevation myocardial infarction (disorder),4296653,SNOMED,1970-01-01,2099-12-31,
408512008,0,SYNTHEA,Body mass index 40+ - severely obese (finding),4256640,SNOMED,1970-01-01,2099-12-31,
706870000,0,SYNTHEA,Acute pulmonary embolism (disorder),45768439,SNOMED,1970-01-01,2099-12-31,
82423001,0,SYNTHEA,Chronic pain (finding),436096,SNOMED,1970-01-01,2099-12-31,
770349000,0,SYNTHEA,Sepsis caused by virus (disorder),36674642,SNOMED,1970-01-01,2099-12-31,
233604007,0,SYNTHEA,Pneumonia (disorder),255848,SNOMED,1970-01-01,2099-12-31,
446096008,0,SYNTHEA,Perennial allergic rhinitis (disorder),40486433,SNOMED,1970-01-01,2099-12-31,
39898005,0,SYNTHEA,Sleep disorder (disorder),435524,SNOMED,1970-01-01,2099-12-31,
33737001,0,SYNTHEA,Fracture of rib (disorder),4142905,SNOMED,1970-01-01,2099-12-31,
422587007,0,SYNTHEA,Nausea (finding),31967,SNOMED,1970-01-01,2099-12-31,
61804006,0,SYNTHEA,Alveolitis of jaw (disorder),201332,SNOMED,1970-01-01,2099-12-31,
389087006,0,SYNTHEA,Hypoxemia (disorder),437390,SNOMED,1970-01-01,2099-12-31,
19169002,0,SYNTHEA,Miscarriage in first trimester (disorder),4078393,SNOMED,1970-01-01,2099-12-31,
85116003,0,SYNTHEA,Miscarriage in second trimester (disorder),4224646,SNOMED,1970-01-01,2099-12-31,
86175003,0,SYNTHEA,Injury of heart (disorder),4311280,SNOMED,1970-01-01,2099-12-31,
40055000,0,SYNTHEA,Chronic sinusitis (disorder),257012,SNOMED,1970-01-01,2099-12-31,
267036007,0,SYNTHEA,Dyspnea (finding),312437,SNOMED,1970-01-01,2099-12-31,
239872002,0,SYNTHEA,Osteoarthritis of hip (disorder),4079749,SNOMED,1970-01-01,2099-12-31,
7200002,0,SYNTHEA,Alcoholism (disorder),4218106,SNOMED,1970-01-01,2099-12-31,
249497008,0,SYNTHEA,Vomiting symptom (finding),4096715,SNOMED,1970-01-01,2099-12-31,
1121000119107,0,SYNTHEA,Chronic neck pain (finding),43530622,SNOMED,1970-01-01,2099-12-31,
26929004,0,SYNTHEA,Alzheimer's disease (disorder),378419,SNOMED,1970-01-01,2099-12-31,
46177005,0,SYNTHEA,End-stage renal disease (disorder),193782,SNOMED,1970-01-01,2099-12-31,
284549007,0,SYNTHEA,Laceration of hand (disorder),4113008,SNOMED,1970-01-01,2099-12-31,
473461003,0,SYNTHEA,Educated to high school level (finding),43021808,SNOMED,1970-01-01,2099-12-31,
43724002,0,SYNTHEA,Chill (finding),434490,SNOMED,1970-01-01,2099-12-31,
80394007,0,SYNTHEA,Hyperglycemia (disorder),4214376,SNOMED,1970-01-01,2099-12-31,
399211009,0,SYNTHEA,History of myocardial infarction (situation),4145793,SNOMED,1970-01-01,2099-12-31,
36971009,0,SYNTHEA,Sinusitis (disorder),4283893,SNOMED,1970-01-01,2099-12-31,
91302008,0,SYNTHEA,Sepsis (disorder),132797,SNOMED,1970-01-01,2099-12-31,
74400008,0,SYNTHEA,Appendicitis (disorder),440448,SNOMED,1970-01-01,2099-12-31,
1187604002,0,SYNTHEA,Serving in military service (finding),4148421,SNOMED,1970-01-01,2099-12-31,
47693006,0,SYNTHEA,Rupture of appendix (disorder),4166224,SNOMED,1970-01-01,2099-12-31,
64859006,0,SYNTHEA,Osteoporosis (disorder),80502,SNOMED,1970-01-01,2099-12-31,
403190006,0,SYNTHEA,Epidermal burn of skin (disorder),4296204,SNOMED,1970-01-01,2099-12-31,
278588009,0,SYNTHEA,Fractured dental filling (finding),4133342,SNOMED,1970-01-01,2099-12-31,
87433001,0,SYNTHEA,Pulmonary emphysema (disorder),261325,SNOMED,1970-01-01,2099-12-31,
56018004,0,SYNTHEA,Wheezing (finding),314754,SNOMED,1970-01-01,2099-12-31,
75498004,0,SYNTHEA,Acute bacterial sinusitis (disorder),4294548,SNOMED,1970-01-01,2099-12-31,
284551006,0,SYNTHEA,Laceration of foot (disorder),4109685,SNOMED,1970-01-01,2099-12-31,
78275009,0,SYNTHEA,Obstructive sleep apnea syndrome (disorder),442588,SNOMED,1970-01-01,2099-12-31,
370247008,0,SYNTHEA,Facial laceration (disorder),4156265,SNOMED,1970-01-01,2099-12-31,
25064002,0,SYNTHEA,Headache (finding),378253,SNOMED,1970-01-01,2099-12-31,
68962001,0,SYNTHEA,Muscle pain (finding),442752,SNOMED,1970-01-01,2099-12-31,
109838007,0,SYNTHEA,Overlapping malignant neoplasm of colon (disorder),79740,SNOMED,1970-01-01,2099-12-31,
283385000,0,SYNTHEA,Laceration of thigh (disorder),4152936,SNOMED,1970-01-01,2099-12-31,
43878008,0,SYNTHEA,Streptococcal sore throat (disorder),28060,SNOMED,1970-01-01,2099-12-31,
87628006,0,SYNTHEA,Bacterial infectious disease (disorder),432545,SNOMED,1970-01-01,2099-12-31,
72892002,0,SYNTHEA,Normal pregnancy (finding),4217975,SNOMED,1970-01-01,2099-12-31,
403192003,0,SYNTHEA,Full thickness burn (disorder),4299128,SNOMED,1970-01-01,2099-12-31,
239873007,0,SYNTHEA,Osteoarthritis of knee (disorder),4079750,SNOMED,1970-01-01,2099-12-31,
84757009,0,SYNTHEA,Epilepsy (disorder),380378,SNOMED,1970-01-01,2099-12-31,
423315002,0,SYNTHEA,Limited social contact (finding),4172829,SNOMED,1970-01-01,2099-12-31,
32911000,0,SYNTHEA,Homeless (finding),4139934,SNOMED,1970-01-01,2099-12-31,
192127007,0,SYNTHEA,Child attention deficit disorder (disorder),440086,SNOMED,1970-01-01,2099-12-31,
